CodMun,area_territorial
2103505,"1978,695"
2103554,"725,664"
2103604,"2263,692"
2103703,"1257,608"
2103752,"332,249"
2103802,"358,493"
2103901,"317,494"
2104008,"452,411"
2104057,"2720,266"
2104073,"1625,822"
2104081,"5086,589"
2104099,"3690,61"
2104107,"1853,406"
2104206,"695,024"
2104305,"720,129"
2104404,"883,588"
2104503,"445,856"
2104552,"615,957"
2104602,"816,99"
2104628,"373,165"
2104651,"1144,146"
2104677,"1037,13"
2104701,"271,445"
2104800,"8861,717"
2104909,"478,857"
2105005,"1714,625"
2105104,"1124,445"
2105153,"368,685"
2105203,"346,218"
2105302,"1369,039"
2105351,"1244,398"
2105401,"1478,562"
2105427,"3583,423"
2105450,"591,616"
2105476,"1962,362"
2105500,"1137,104"
2105609,"703,081"
2105658,"568,499"
2105708,"1240,444"
2105807,"328,525"
2105906,"631,455"
2105922,"1512,985"
2105948,"220,776"
2105963,"744,199"
2105989,"1063,619"
2106003,"321,932"
2106102,"3597,231"
2106201,"472,296"
2106300,"434,433"
2106326,"635,758"
2106359,"1402,593"
2106375,"760,947"
2106409,"548,548"
2106508,"410,632"
2106607,"2108,671"
2106631,"794,454"
2106672,"634,818"
2106706,"8522,351"
2106755,"341,107"
2106805,"686,942"
2106904,"1245,548"
2107001,"1488,513"
2107100,"1712,121"
2107209,"542,373"
2107258,"743,085"
2107308,"978,34"
2107357,"2452,615"
2107407,"695,333"
2107456,"199,879"
2107506,"127,193"
2107605,"532,161"
2107704,"530,517"
2107803,"3244,752"
2107902,"1358,327"
2108009,"1635,181"
2108058,"979,739"
2108108,"1168,609"
2108207,"262,066"
2108256,"1753,867"
2108306,"800,916"
2108405,"397,994"
2108454,"824,725"
2108504,"268,285"
2108603,"1512,968"
2108702,"545,14"
2108801,"688,761"
2108900,"990,415"
2109007,"1420,51"
2109056,"244,979"
2109106,"771,574"
2109205,"355,568"
2109239,"437,687"
2109270,"726,172"
2109304,"330,765"
2109403,"1337,161"
2109452,"79,213"
2109502,"6402,83"
2109551,"733,458"
2109601,"647,998"
2109700,"2476,132"
2109759,"623,213"
2109809,"2191,169"
2109908,"786,689"
2110005,"4837,169"
2110039,"1010,483"
2110104,"1430,33"
2110203,"756,797"
2110237,"932,03"
2110278,"1582,806"
2110302,"770,923"
2110401,"931,485"
2110500,"456,997"
2110609,"1005,824"
2110658,"961,249"
2110708,"1151,978"
2110807,"2032,599"
2110856,"745,357"
2110906,"2284,217"
2111003,"649,956"
2111029,"910,065"
2111052,"2052,328"
2111078,"1438,067"
2111102,"1483,255"
2111201,"180,363"
2111250,"353,72"
2111300,"583,063"
2111409,"909,164"
2111508,"800,045"
2111532,"720,461"
2111573,"979,915"
2111607,"3524,501"
2111631,"419,55"
2111672,"226,811"
2111706,"393,928"
2111722,"441,811"
2111748,"426,437"
2111763,"738,187"
2111789,"1165,318"
2111805,"3114,683"
2111904,"1074,435"
2111953,"862,226"
2112001,"4369,159"
2112100,"1486,584"
2112209,"1763,22"
2112233,"291,61"
2112274,"270,934"
2112308,"3369,121"
2112407,"2622,281"
2112456,"1507,622"
2112506,"1566,08"
2112605,"1707,621"
2112704,"1958,702"
2112803,"1166,745"
2112852,"1190,008"
2112902,"716,719"
2113009,"1193,385"
2114007,"2140,109"
2200053,"1280,838"
2200103,"112,392"
2200202,"96,843"
2200251,"535,89"
2200277,"243,732"
2200301,"1743,331"
2200400,"957,232"
2200459,"2131,506"
2200509,"1152,127"
2200608,"222,008"
2200707,"337,877"
2200806,"644,8"
2200905,"821,212"
2200954,"316,235"
2201002,"682,727"
2201051,"1690,703"
2201101,"1220,371"
2201150,"7808,915"
2201176,"263,943"
2201200,"1722,507"
2201309,"2168,713"
2201408,"159,436"
2201507,"1589,01"
2201556,"499,092"
2201572,"243,234"
2201606,"937,098"
2201705,"1216,116"
2201739,"579,576"
2201770,"336,954"
2201804,"261,651"
2201903,"5471,024"
2201919,"523,142"
2201929,"289,149"
2201945,"269,786"
2201960,"880,836"
2201988,"2267,327"
2202000,"690,54"
2202026,"2437,326"
2202059,"608,747"
2202075,"514,106"
2202083,"271,165"
2202091,"467,083"
2202109,"783,842"
2202117,"657,796"
2202133,"311,682"
2202174,"478,078"
2202208,"1680,861"
2202251,"2165,277"
2202307,"4325,643"
2202406,"571,658"
2202455,"1132,995"
2202505,"1610,959"
2202539,"471,217"
2202554,"498,793"
2202604,"2378,847"
2202653,"491,093"
2202703,"1294,133"
2202711,"310,291"
2202729,"324,856"
2202737,"484,46"
2202752,"429,591"
2202778,"950,193"
2202802,"824,729"
2202851,"1926,103"
2202901,"3048,747"
2203008,"1202,896"
2203107,"1845,698"
2203206,"2344,949"
2203230,"3156,657"
2203255,"345,811"
2203271,"755,251"
2203305,"216,807"
2203354,"1005,571"
2203404,"218,808"
2203420,"848,705"
2203453,"3871,824"
2203503,"1383,976"
2203602,"1097,79"
2203701,"908,748"
2203750,"713,046"
2203800,"946,719"
2203859,"223,199"
2203909,"3407,979"
2204006,"268,704"
2204105,"656,475"
2204154,"179,245"
2204204,"492,191"
2204303,"777,179"
2204352,"440,606"
2204402,"3495,692"
2204501,"1026,538"
2204550,"3118,231"
2204600,"224,573"
2204659,"129,696"
2204709,"978,222"
2204808,"529,417"
2204907,"800,688"
2205003,"827,62"
2205102,"2554,179"
2205151,"1333,796"
2205201,"866,788"
2205250,"510,226"
2205276,"650,393"
2205300,"1865,94"
2205359,"1800,23"
2205409,"740,561"
2205458,"169,005"
2205508,"1538,172"
2205516,"935,404"
2205524,"1283,916"
2205532,"1271,881"
2205540,"67,649"
2205557,"394,205"
2205565,"1329,094"
2205573,"155,86"
2205581,"427,841"
2205599,"805,018"
2205607,"1088,583"
2205706,"1074,132"
2205805,"705,599"
2205854,"178,842"
2205904,"1620,413"
2205953,"136,785"
2206001,"677,416"
2206050,"530,169"
2206100,"226,785"
2206209,"1392,123"
2206308,"93,412"
2206357,"1309,128"
2206407,"567,86"
2206506,"401,568"
2206605,"2417,382"
2206654,"2207,658"
2206670,"328,408"
2206696,"475,72"
2206704,"1315,841"
2206720,"362,376"
2206753,"356,872"
2206803,"357,896"
2206902,"525,906"
2206951,"443,872"
2207009,"2703,138"
2207108,"183,603"
2207207,"278,696"
2207306,"401,378"
2207355,"986,961"
2207405,"2024,02"
2207504,"1493,764"
2207553,"432,572"
2207603,"3428,811"
2207702,"436,907"
2207751,"643,226"
2207777,"801,403"
2207793,"430,023"
2207801,"1941,111"
2207850,"1090,697"
2207900,"1544,413"
2207934,"870,614"
2207959,"909,734"
2208007,"577,284"
2208106,"4562,58"
2208205,"1948,142"
2208304,"2368,935"
2208403,"1407,192"
2208502,"253,113"
2208551,"1168,044"
2208601,"196,787"
2208650,"1284,761"
2208700,"2470,531"
2208809,"1251,321"
2208858,"2220,598"
2208874,"1012,479"
2208908,"3987,147"
2209005,"635,953"
2209104,"582,658"
2209153,"978,547"
2209203,"5293,693"
2209302,"1185,398"
2209351,"112,189"
2209377,"338,336"
2209401,"385,286"
2209450,"33,64"
2209500,"852,106"
2209559,"656,042"
2209609,"627,033"
2209658,"1072,851"
2209708,"1341,451"
2209757,"1385,255"
2209807,"150,495"
2209856,"480,537"
2209872,"817,111"
2209906,"994,224"
2209955,"394,456"
2209971,"213,377"
2210003,"1527,497"
2210052,"319,367"
2210102,"1287,174"
2210201,"373,347"
2210300,"291,089"
2210359,"673,822"
2210375,"217,924"
2210383,"444,528"
2210391,"813,444"
2210409,"4988,973"
2210508,"518,288"
2210607,"2415,287"
2210623,"893,488"
2210631,"3148,857"
2210656,"1031,101"
2210706,"1076,055"
2210805,"1360,028"
2210904,"761,854"
2210938,"205,194"
2210953,"1587,296"
2210979,"398,007"
2211001,"1391,293"
2211100,"1170,742"
2211209,"8413,016"
2211308,"1333,722"
2211357,"450,429"
